1224;  8 38 45.436928;  +3 20 29.16801;   4.45 
323;  8 39 17.623205;  +52 42 41.85068;   5.91 
322;  8 39 42.608390;  +73 37 46.83616;   6.16 
325;  8 40  1.471305;  -12 28 31.35209;   4.98 
1225;  8 41  1.069356;  +45 50  2.42904;   5.35 
331;  8 41 19.513378;  -78 57 48.09853;   5.46 
1228;  8 43 17.146981;  +21 28  6.60225;   4.66 
327;  8 43 35.537633;  -33 11 10.98750;   3.68 
1229;  8 44 55.148248;  -21 10  4.18160;   6.10 
1230;  8 49 21.725962;  -3 26 34.89282;   5.30 
332;  8 50 31.923165;  -27 42 35.43948;   4.02 
1231;  8 55 12.430398;  -18 14 28.28350;   5.75 
334;  8 55 23.626004;  +5 56 44.03133;   3.11 
918;  8 56 40.979257;  -85 39 47.35011;   5.43 
1235;  9  1 57.987909;  -0 28 57.62814;   5.64 
343;  9  2 26.795681;  -66 23 45.86983;   4.00 
338;  9  2 32.691907;  +67 37 46.62986;   4.74 
1236;  9  3 43.415991;  -5 10 16.90444;   6.83 
340;  9  4  0.400543;  +54 17  1.98869;   5.74 
342;  9  4  9.280262;  -47  5 51.85650;   3.75 
1237;  9  6 31.767317;  +38 27  7.97526;   4.56 
1240;  9  9 11.513978;  -12 21 27.73477;   5.76 
1242;  9 11 58.735744;  -19 44 51.45868;   5.72 
348;  9 13 11.973502;  -69 43  1.95467;   1.67 
346;  9 13 48.207054;  +43 13  4.18577;   5.30 
1640;  9 15 21.426315;  +84 10 51.66406;   6.30 
351;  9 17  5.406235;  -59 16 30.83490;   2.21 
350;  9 18 58.832550;  +17 42 19.32213;   6.61 
352;  9 21  3.301759;  +34 23 33.24419;   3.14 
1243;  9 21 29.590637;  -25 57 55.57384;   4.71 
1245;  9 25 24.035617;  -5  7  2.61957;   5.60 
354;  9 27 35.242935;  -8 39 30.96513;   1.99 
356;  9 29 14.719840;  -35 57  4.80812;   4.51 
361;  9 31 13.318903;  -57  2  3.75970;   3.16 
362;  9 31 36.272789;  -73  4 51.28520;   5.46 
1247;  9 33 12.459273;  -21  6 56.59878;   5.02 
360;  9 34 13.381760;  +36 23 51.20873;   4.54 
357;  9 34 28.859744;  +69 49 49.22967;   4.54 
910;  9 37  5.289043;  +81 19 34.97147;   4.28 
1248;  9 37  9.890978;  -32 10 43.14097;   5.62 
1249;  9 38 27.288826;  +4 38 57.44644;   4.68 
1250;  9 39 51.361866;  -1  8 34.11219;   3.90 
364;  9 40 18.362987;  -14 19 56.25136;   5.07 
363;  9 42 14.823428;  +69 14 15.12885;   5.72 
1251;  9 43 33.259489;  +29 58 28.11099;   5.64 
1252;  9 43 43.903793;  +14  1 18.10629;   5.36 
1254;  9 45 14.811524;  -62 30 28.45242;   3.69 
367;  9 45 51.073337;  +23 46 27.30654;   2.97 
1253;  9 45 51.940140;  +18 41  0.90259;   6.78 
1255;  9 48 35.371460;  +46  1 15.62623;   5.08 
370;  9 51 14.031951;  -4 14 36.05558;   6.01 
371;  9 52 45.817496;  +26  0 25.01919;   3.88 
373;  9 54 52.208021;  -19  0 33.69076;   4.94 
1257;  9 56  8.001854;  -7 38 43.13971;   6.74 
378; 10  0 12.805815;  +8  2 39.19687;   4.68 
1260; 10  4 20.941528;  -24 17  7.93774;   5.70 
1259; 10  4 36.321975;  +53 53 30.17461;   5.71 
1261; 10  5  7.469897;  -13  3 52.65864;   4.60 
385; 10 13 44.218126;  -70  2 16.45299;   3.29 
382; 10 14 44.155715;  -42  7 18.98954;   3.85 
384; 10 16 41.416930;  +23 25  2.31632;   3.43 
1263; 10 17 37.802575;  -8  4  8.08657;   5.25 
1262; 10 18  2.026978;  +65  6 30.06264;   5.74 
1266; 10 21  2.005960;  +2 17 23.00381;   6.66 
1268; 10 22 19.584858;  -41 38 59.85733;   4.82 
1267; 10 23  6.328252;  +33 54 29.31715;   5.89 
388; 10 23 26.478788;  -4  4 26.52379;   5.93 
1269; 10 23 29.295933;  -38  0 35.42332;   5.34 
391; 10 24 23.707047;  -74  1 53.80022;   3.99 
389; 10 26  5.426581;  -16 50 10.63745;   3.83 
392; 10 27  9.101388;  -31  4  3.99903;   4.28 
393; 10 27 52.730446;  -58 44 21.84902;   3.81 
1270; 10 29 28.702471;  -2 44 20.68213;   5.19 
1271; 10 29 53.691246;  +28 34 52.39071;   6.88 
1663; 10 30 49.284370;  -86  5 26.46777;   6.64 
397; 10 32  1.463394;  -61 41  7.19916;   3.30 
1272; 10 32 11.773313;  +14  8 14.17140;   5.43 
395; 10 35  5.504211;  +75 42 46.68844;   4.86 
398; 10 35  9.693770;  +57  4 57.49148;   5.16 
401; 10 35 28.108481;  -78 36 28.02737;   4.11 
1275; 10 38 43.212509;  +31 58 34.45801;   4.68 
404; 10 41 24.186669;  -1 44 29.36981;   6.25 
403; 10 43  4.040338;  +69  4 34.37096;   5.01 
405; 10 43 24.956698;  +23 11 18.25312;   5.08 
411; 10 45 47.002058;  -80 32 24.67702;   4.45 
407; 10 45 51.896040;  +30 40 56.32475;   5.36 
1278; 10 46  5.679866;  +6 22 23.45693;   6.38 
1279; 10 46 24.546822;  +18 53 29.48841;   5.50 
1280; 10 46 42.722887;  -26  2 53.34216;   6.70 
409; 10 49 15.430122;  +10 32 42.71782;   5.32 
410; 10 49 37.488419;  -16 11 37.12641;   3.11 
412; 10 53 18.701745;  +34 12 53.58532;   3.79 
414; 10 56 43.050796;  -37  8 15.95587;   4.60 
1664; 10 59 13.762514;  -84 35 38.01766;   6.19 
1282; 10 59 27.972966;  +40 25 48.92554;   5.03 
1283; 10 59 46.465011;  -18 17 55.62279;   4.08 
413; 10 59 56.828464;  +77 46 12.62353;   6.18 
415; 11  0  9.264055;  -42 13 33.08599;   4.37 
416; 11  1 50.476684;  +56 22 56.73539;   2.34 
1286; 11  5 33.990196;  -11  5 20.07176;   6.09 
1289; 11  8 35.389720;  -58 58 30.13600;   3.93 
420; 11  9 39.807840;  +44 29 54.53551;   3.00 
1290; 11 12 14.791036;  -32 26  1.65978;   6.35 
422; 11 14  6.501058;  +20 31 25.38504;   2.56 
423; 11 14 14.404386;  +15 25 46.45830;   3.33 
1641; 11 14 30.376194;  +85 38 24.47424;   7.31 
1292; 11 16 39.700157;  -3 39  5.76542;   4.45 
424; 11 16 41.850179;  +49 28 34.49491;   5.88 
426; 11 19 20.447991;  -14 46 42.74680;   3.56 
427; 11 21  8.193613;  +6  1 45.55762;   4.05 
429; 11 22 51.243637;  +64 19 49.84491;   6.02 
1294; 11 24 22.054051;  -42 40  8.76082;   6.13 
1295; 11 25 45.734679;  +26 44 50.00795;   7.30 
1297; 11 27 56.239491;  +2 51 22.55731;   4.95 
1298; 11 29 37.531142;  -28  1 50.11131;   6.67 
432; 11 30 31.131145;  +43 10 23.67389;   5.94 
433; 11 31 24.221026;  +69 19 51.87901;   3.82 
434; 11 33  0.114978;  -31 51 27.44259;   3.54 
435; 11 35 55.585226;  -47 38 29.90514;   5.26 
1299; 11 36 40.912360;  -9 48  8.05713;   4.70 
437; 11 36 56.931365;  -0 49 25.49477;   4.30 
439; 11 40 12.789065;  -34 44 40.77002;   4.70 
1300; 11 41  3.016182;  +34 12  5.88624;   5.31 
440; 11 42 28.362113;  +66 44 41.65183;   5.32 
1302; 11 45 51.559386;  +6 31 45.73372;   4.04 
441; 11 46  3.014326;  +47 46 45.85747;   3.69 
1303; 11 47  7.798498;  +61 24  6.69666;   6.59 
1305; 11 48 45.082577;  -26 44 59.19790;   5.10 
445; 11 50 41.719090;  +1 45 52.98961;   3.59 
446; 11 51  8.691779;  -45 10 24.48749;   4.47 
1307; 11 52 58.768785;  +37 43  7.23527;   6.42 
447; 11 53 49.838788;  +53 41 41.11909;   2.41 
1309; 11 56  0.953307;  -17  9  2.97928;   5.17 
449; 12  3 39.571687;  -42 26  2.60738;   5.15 
1642; 12  4 28.114018;  +85 35 13.67630;   6.27 
450; 12  5 12.539906;  +8 43 58.67022;   4.12 
451; 12  5 15.117253;  +76 54 20.64756;   5.78 
453; 12 10  7.480715;  -22 37 11.15248;   3.02 
1314; 12 14 43.409697;  +53 26  4.65812;   6.18 
455; 12 15  8.715941;  -58 44 56.13722;   2.79 
456; 12 15 25.560327;  +57  1 57.42297;   3.32 
457; 12 15 48.370356;  -17 32 30.94957;   2.58 
459; 12 18 20.822875;  -79 18 44.05252;   4.24 
1316; 12 19 48.710270;  +48 59  2.93127;   5.28 
1317; 12 20 20.981182;  +3 18 45.26143;   4.97 
1319; 12 25 18.410694;  -27 44 56.39968;   6.09 
461; 12 25 50.938582;  +39  1  7.02698;   5.01 
463; 12 26 51.689817;  -32 49 48.42835;   5.56 
464; 12 28  2.382223;  -50 13 50.28560;   3.91 
1320; 12 28 22.466372;  -39  2 28.21040;   5.45 
466; 12 29 43.239443;  +20 53 45.98860;   5.68 
468; 12 31  9.959342;  -57  6 47.55918;   1.59 
469; 12 32 28.014407;  -72  7 58.75752;   3.84 
1321; 12 33 34.259499;  -12 49 48.73345;   5.58 
1322; 12 33 38.919663;  +33 14 51.29893;   5.42 
471; 12 34 23.235556;  -23 23 48.33236;   2.65 
1324; 12 36 47.354288;  -5 49 54.83365;   5.88 
475; 12 39 14.767094;  -7 59 44.02424;   4.66 
1325; 12 41 22.985438;  -46  8 44.09662;   5.84 
478; 12 41 33.910079;  +62 42 46.94371;   6.02 
1326; 12 41 53.056220;  +10 14  8.24602;   4.88 
479; 12 44  0.531468;  -28 19 26.24520;   5.46 
